population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.2953	1301	1.2712	1.3199	0.0066	1300	0.003	0.0107	8.6
FlintRiver_RylandPike	1.416	1302	1.3886	1.4435	0.0071	1300	0.0032	0.0116	9.2
Sequatchie_Teague	1.4528	1302	1.424	1.4815	5e-04	1300	1e-04	0.001	0.6
PaintRock_AL2	1.4201	1302	1.3919	1.4488	0.0341	1300	0.0247	0.0441	44.3
Dry_Creek	1.2242	1301	1.2022	1.2467	0.0025	1300	6e-04	0.005	3.2
Pidgeon_River	1.4673	1301	1.4383	1.4969	0.0373	1300	0.0277	0.0476	48.5
Sequatchie_OldYork	1.4383	1302	1.4109	1.4666	0.0048	1300	0.0017	0.0084	6.3
Sequatchie_Inman	1.5534	1301	1.5242	1.5833	0.0076	1300	0.0037	0.0122	9.9
FlintRiver_HWY61	1.4867	1302	1.4582	1.5154	0.0123	1300	0.0072	0.018	15.9
BentCreek	1.3836	1303	1.3571	1.4103	0.0625	1300	0.0498	0.0761	81.3
SpringCreek	1.3949	1302	1.3673	1.4225	0.077	1300	0.0621	0.0929	100.1
