population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.2401	1303	1.218	1.2625	0.004	1303	0.0012	0.0075	5.2
FlintRiver_RylandPike	1.3458	1303	1.321	1.3708	0.0013	1303	2e-04	0.0032	1.7
Sequatchie_Teague	1.3699	1303	1.3447	1.3949	1e-04	1303	0	2e-04	0.1
PaintRock_AL2	1.3488	1303	1.3242	1.3738	0.0236	1303	0.0163	0.0319	30.8
Dry_Creek	1.1745	1303	1.1551	1.1946	3e-04	1303	0	9e-04	0.4
Pidgeon_River	1.3831	1303	1.3576	1.4092	0.0247	1303	0.017	0.0332	32.1
Sequatchie_OldYork	1.3563	1303	1.3315	1.3813	9e-04	1303	1e-04	0.0026	1.2
Sequatchie_Inman	1.4505	1303	1.4253	1.4763	0.004	1303	0.0012	0.0074	5.2
FlintRiver_HWY61	1.4019	1303	1.377	1.4276	0.0059	1303	0.0025	0.01	7.7
BentCreek	1.3176	1303	1.2935	1.3421	0.0426	1303	0.0326	0.0535	55.5
SpringCreek	1.325	1303	1.3013	1.3498	0.0515	1303	0.0401	0.0636	67.1
