population	n	Ho	He	Fis	Fis_lo	Fis_hi	pct_poly
LookoutCreek	20	0.0712	0.0613	-0.1614	-0.2061	-0.1159	26.1
FlintRiver_RylandPike	20	0.1242	0.1079	-0.1511	-0.185	-0.1163	36.4
Sequatchie_Teague	20	0.1114	0.1035	-0.0758	-0.1081	-0.0431	39.1
PaintRock_AL2	20	0.1312	0.1011	-0.2976	-0.3286	-0.2657	37.3
Dry_Creek	20	0.057	0.0438	-0.3002	-0.3565	-0.2444	19
Pidgeon_River	17	0.1267	0.1119	-0.1318	-0.161	-0.1026	39.5
Sequatchie_OldYork	20	0.1156	0.099	-0.1676	-0.1952	-0.1409	38.2
Sequatchie_Inman	20	0.1358	0.1289	-0.0529	-0.0816	-0.0236	47.8
FlintRiver_HWY61	20	0.1531	0.1257	-0.2184	-0.2492	-0.1878	42.2
BentCreek	20	0.1233	0.0944	-0.3063	-0.339	-0.2737	33.8
SpringCreek	20	0.1122	0.0896	-0.2522	-0.2861	-0.2173	35
