sample	population	loci_called	heterozygosity
Lvir-pop_001	LookoutCreek	1656	0.05374
Lvir-pop_002	LookoutCreek	1664	0.07993
Lvir-pop_003	LookoutCreek	1650	0.08182
Lvir-pop_004	LookoutCreek	1583	0.04864
Lvir-pop_005	LookoutCreek	1637	0.08735
Lvir-pop_006	LookoutCreek	1654	0.06953
Lvir-pop_007	LookoutCreek	1660	0.09036
Lvir-pop_008	LookoutCreek	1656	0.09601
Lvir-pop_009	LookoutCreek	1663	0.07156
Lvir-pop_010	LookoutCreek	1644	0.0517
Lvir-pop_011	LookoutCreek	1670	0.08383
Lvir-pop_012	LookoutCreek	1665	0.07267
Lvir-pop_013	LookoutCreek	1628	0.05958
Lvir-pop_014	LookoutCreek	1655	0.05921
Lvir-pop_015	LookoutCreek	1649	0.05579
Lvir-pop_016	LookoutCreek	1632	0.04596
Lvir-pop_017	LookoutCreek	1665	0.05405
Lvir-pop_018	LookoutCreek	1646	0.06015
Lvir-pop_019	LookoutCreek	1645	0.04863
Lvir-pop_020	LookoutCreek	1584	0.13573
Lvir-pop_021	FlintRiver_RylandPike	1631	0.1073
Lvir-pop_022	FlintRiver_RylandPike	1656	0.11171
Lvir-pop_023	FlintRiver_RylandPike	1626	0.10332
Lvir-pop_024	FlintRiver_RylandPike	1662	0.12335
Lvir-pop_025	FlintRiver_RylandPike	1579	0.09626
Lvir-pop_026	FlintRiver_RylandPike	1644	0.12348
Lvir-pop_027	FlintRiver_RylandPike	1611	0.10242
Lvir-pop_028	FlintRiver_RylandPike	1617	0.11936
Lvir-pop_029	FlintRiver_RylandPike	1644	0.11375
Lvir-pop_030	FlintRiver_RylandPike	1607	0.10268
Lvir-pop_031	FlintRiver_RylandPike	1590	0.18931
Lvir-pop_032	FlintRiver_RylandPike	1642	0.10049
Lvir-pop_033	FlintRiver_RylandPike	1625	0.15385
Lvir-pop_034	FlintRiver_RylandPike	1602	0.08989
Lvir-pop_035	FlintRiver_RylandPike	1665	0.12553
Lvir-pop_036	FlintRiver_RylandPike	1620	0.11235
Lvir-pop_037	FlintRiver_RylandPike	1666	0.10504
Lvir-pop_038	FlintRiver_RylandPike	1630	0.13497
Lvir-pop_039	FlintRiver_RylandPike	1667	0.12058
Lvir-pop_040	FlintRiver_RylandPike	1613	0.09051
Lvir-pop_041	Sequatchie_Teague	1626	0.12423
Lvir-pop_042	Sequatchie_Teague	1645	0.12705
Lvir-pop_043	Sequatchie_Teague	1662	0.09266
Lvir-pop_044	Sequatchie_Teague	1642	0.11206
Lvir-pop_045	Sequatchie_Teague	1621	0.13695
Lvir-pop_046	Sequatchie_Teague	1657	0.09777
Lvir-pop_047	Sequatchie_Teague	1657	0.06699
Lvir-pop_048	Sequatchie_Teague	1661	0.08609
Lvir-pop_049	Sequatchie_Teague	1655	0.0858
Lvir-pop_050	Sequatchie_Teague	1659	0.10488
Lvir-pop_051	Sequatchie_Teague	1654	0.0919
Lvir-pop_052	Sequatchie_Teague	1668	0.09353
Lvir-pop_053	Sequatchie_Teague	1656	0.12319
Lvir-pop_054	Sequatchie_Teague	1637	0.12951
Lvir-pop_055	Sequatchie_Teague	1663	0.10162
Lvir-pop_056	Sequatchie_Teague	1628	0.06941
Lvir-pop_057	Sequatchie_Teague	1659	0.12116
Lvir-pop_058	Sequatchie_Teague	1646	0.14156
Lvir-pop_059	Sequatchie_Teague	1652	0.09443
Lvir-pop_060	Sequatchie_Teague	1653	0.14519
Lvir-pop_061	PaintRock_AL2	1662	0.09266
Lvir-pop_062	PaintRock_AL2	1666	0.10984
Lvir-pop_063	PaintRock_AL2	1646	0.11179
Lvir-pop_064	PaintRock_AL2	1668	0.09652
Lvir-pop_065	PaintRock_AL2	1655	0.14985
Lvir-pop_066	PaintRock_AL2	1643	0.11869
Lvir-pop_067	PaintRock_AL2	1652	0.11077
Lvir-pop_068	PaintRock_AL2	1647	0.12568
Lvir-pop_069	PaintRock_AL2	1651	0.12901
Lvir-pop_070	PaintRock_AL2	1664	0.10096
Lvir-pop_071	PaintRock_AL2	1641	0.14625
Lvir-pop_072	PaintRock_AL2	1602	0.15231
Lvir-pop_073	PaintRock_AL2	1667	0.09418
Lvir-pop_074	PaintRock_AL2	1655	0.14924
Lvir-pop_075	PaintRock_AL2	1657	0.1382
Lvir-pop_076	PaintRock_AL2	1660	0.12771
Lvir-pop_077	PaintRock_AL2	1647	0.14511
Lvir-pop_078	PaintRock_AL2	1661	0.11559
Lvir-pop_079	PaintRock_AL2	1654	0.09129
Lvir-pop_080	PaintRock_AL2	1645	0.13191
Lvir-pop_081	Dry_Creek	1655	0.04532
Lvir-pop_082	Dry_Creek	1657	0.04587
Lvir-pop_083	Dry_Creek	1655	0.06949
Lvir-pop_084	Dry_Creek	1654	0.08343
Lvir-pop_085	Dry_Creek	1679	0.05539
Lvir-pop_086	Dry_Creek	1662	0.04813
Lvir-pop_087	Dry_Creek	1672	0.04127
Lvir-pop_088	Dry_Creek	1677	0.04293
Lvir-pop_089	Dry_Creek	1672	0.05323
Lvir-pop_090	Dry_Creek	1676	0.04714
Lvir-pop_091	Dry_Creek	1676	0.04057
Lvir-pop_092	Dry_Creek	1668	0.04317
Lvir-pop_093	Dry_Creek	1664	0.0595
Lvir-pop_094	Dry_Creek	1648	0.09527
Lvir-pop_095	Dry_Creek	1647	0.05647
Lvir-pop_096	Dry_Creek	1661	0.10175
Lvir-pop_097	Dry_Creek	1669	0.05812
Lvir-pop_098	Dry_Creek	1658	0.0778
