population	n	Ho	He	Fis	Fis_lo	Fis_hi	pct_poly
LookoutCreek	20	0.1	0.0829	-0.206	-0.2412	-0.1711	33.3
FlintRiver_RylandPike	20	0.158	0.1347	-0.1726	-0.2012	-0.1444	43.6
Sequatchie_Teague	20	0.1376	0.1273	-0.0802	-0.1067	-0.0534	47.4
PaintRock_AL2	20	0.1567	0.1201	-0.3053	-0.3318	-0.2783	42.5
Dry_Creek	20	0.0749	0.0578	-0.2966	-0.337	-0.2556	24.2
Pidgeon_River	17	0.1531	0.1341	-0.1422	-0.1667	-0.1178	47
Sequatchie_OldYork	20	0.1427	0.1241	-0.15	-0.1708	-0.1283	47.7
Sequatchie_Inman	20	0.1678	0.1574	-0.0656	-0.0879	-0.0437	56.6
FlintRiver_HWY61	20	0.1869	0.1507	-0.2398	-0.2632	-0.2159	50.4
BentCreek	20	0.1514	0.1146	-0.3207	-0.348	-0.2937	40
SpringCreek	20	0.1421	0.1137	-0.2497	-0.278	-0.2208	42.4
