population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.2565	2249	1.238	1.2751	0.0039	2249	0.0017	0.0066	8.7
FlintRiver_RylandPike	1.3452	2249	1.3255	1.3652	0.0037	2249	0.0015	0.0066	8.3
Sequatchie_Teague	1.3801	2249	1.3602	1.4003	1e-04	2249	0	2e-04	0.2
PaintRock_AL2	1.3406	2249	1.3205	1.3605	0.0219	2249	0.0163	0.0278	49.3
Dry_Creek	1.1847	2249	1.1688	1.2007	0.0012	2249	3e-04	0.0025	2.7
Pidgeon_River	1.382	2249	1.3616	1.4028	0.0205	2249	0.0151	0.0263	46.1
Sequatchie_OldYork	1.374	2249	1.3543	1.3933	6e-04	2249	1e-04	0.0016	1.4
Sequatchie_Inman	1.457	2249	1.4371	1.4765	0.0029	2249	0.0011	0.0051	6.4
FlintRiver_HWY61	1.4035	2249	1.3838	1.4238	0.0056	2249	0.0028	0.009	12.6
BentCreek	1.3147	2249	1.295	1.3342	0.0396	2249	0.0317	0.0483	89.1
SpringCreek	1.3262	2249	1.3074	1.3456	0.047	2249	0.0386	0.0559	105.6
