population	n	Ho	He	Fis	Fis_lo	Fis_hi	pct_poly
LookoutCreek	20	0.0874	0.0754	-0.1583	-0.1987	-0.1184	31.2
FlintRiver_RylandPike	20	0.1454	0.1269	-0.1456	-0.1764	-0.115	41.9
Sequatchie_Teague	20	0.1337	0.1247	-0.0728	-0.1024	-0.0422	44.5
PaintRock_AL2	20	0.1502	0.117	-0.2837	-0.312	-0.2547	42
Dry_Creek	20	0.0727	0.0567	-0.2836	-0.3335	-0.2317	23.4
Pidgeon_River	17	0.1474	0.1305	-0.1296	-0.1566	-0.1024	45.7
Sequatchie_OldYork	20	0.1363	0.118	-0.1551	-0.1801	-0.1304	44.2
Sequatchie_Inman	20	0.1581	0.1508	-0.0483	-0.0746	-0.0219	53.9
FlintRiver_HWY61	20	0.1811	0.1478	-0.2255	-0.2529	-0.1977	48.1
BentCreek	20	0.1442	0.1109	-0.3006	-0.3306	-0.2711	39
SpringCreek	20	0.1365	0.1081	-0.2635	-0.2939	-0.232	40.4
