population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.2946	1303	1.2705	1.3192	0.0066	1303	0.003	0.0107	8.6
FlintRiver_RylandPike	1.4128	1303	1.3852	1.44	0.0065	1303	0.0027	0.0109	8.5
Sequatchie_Teague	1.4464	1303	1.4181	1.4749	5e-04	1303	1e-04	0.001	0.6
PaintRock_AL2	1.4166	1303	1.3889	1.4449	0.034	1303	0.0247	0.044	44.3
Dry_Creek	1.222	1303	1.1999	1.2444	0.0025	1303	6e-04	0.005	3.2
Pidgeon_River	1.4613	1303	1.4328	1.49	0.0371	1303	0.0276	0.0474	48.4
Sequatchie_OldYork	1.4304	1303	1.4035	1.4583	0.0048	1303	0.0017	0.0084	6.3
Sequatchie_Inman	1.5464	1303	1.5176	1.5756	0.0076	1303	0.0037	0.0121	9.9
FlintRiver_HWY61	1.4827	1303	1.4544	1.511	0.0122	1303	0.0072	0.0179	15.9
BentCreek	1.3808	1303	1.3542	1.4075	0.0624	1303	0.0497	0.076	81.3
SpringCreek	1.3909	1303	1.3639	1.4184	0.076	1303	0.0612	0.0917	99.1
