sample	population	loci_called	heterozygosity
Lvir-pop_001	LookoutCreek	1634	0.06181
Lvir-pop_002	LookoutCreek	1631	0.09258
Lvir-pop_003	LookoutCreek	1623	0.09119
Lvir-pop_004	LookoutCreek	1568	0.05995
Lvir-pop_005	LookoutCreek	1611	0.08876
Lvir-pop_006	LookoutCreek	1628	0.07862
Lvir-pop_007	LookoutCreek	1631	0.10055
Lvir-pop_008	LookoutCreek	1620	0.11358
Lvir-pop_009	LookoutCreek	1629	0.08717
Lvir-pop_010	LookoutCreek	1624	0.06527
Lvir-pop_011	LookoutCreek	1638	0.08242
Lvir-pop_012	LookoutCreek	1629	0.07182
Lvir-pop_013	LookoutCreek	1618	0.06675
Lvir-pop_014	LookoutCreek	1634	0.07099
Lvir-pop_015	LookoutCreek	1624	0.0702
Lvir-pop_016	LookoutCreek	1621	0.05429
Lvir-pop_017	LookoutCreek	1630	0.05951
Lvir-pop_018	LookoutCreek	1620	0.07531
Lvir-pop_019	LookoutCreek	1627	0.05409
Lvir-pop_020	LookoutCreek	1570	0.14713
Lvir-pop_021	FlintRiver_RylandPike	1616	0.11077
Lvir-pop_022	FlintRiver_RylandPike	1635	0.13456
Lvir-pop_023	FlintRiver_RylandPike	1612	0.10794
Lvir-pop_024	FlintRiver_RylandPike	1632	0.1299
Lvir-pop_025	FlintRiver_RylandPike	1575	0.11429
Lvir-pop_026	FlintRiver_RylandPike	1626	0.14145
Lvir-pop_027	FlintRiver_RylandPike	1603	0.11354
Lvir-pop_028	FlintRiver_RylandPike	1606	0.11893
Lvir-pop_029	FlintRiver_RylandPike	1615	0.11889
Lvir-pop_030	FlintRiver_RylandPike	1595	0.1185
Lvir-pop_031	FlintRiver_RylandPike	1589	0.19383
Lvir-pop_032	FlintRiver_RylandPike	1618	0.11743
Lvir-pop_033	FlintRiver_RylandPike	1593	0.16321
Lvir-pop_034	FlintRiver_RylandPike	1590	0.10943
Lvir-pop_035	FlintRiver_RylandPike	1633	0.13227
Lvir-pop_036	FlintRiver_RylandPike	1603	0.1335
Lvir-pop_037	FlintRiver_RylandPike	1641	0.11091
Lvir-pop_038	FlintRiver_RylandPike	1610	0.14286
Lvir-pop_039	FlintRiver_RylandPike	1623	0.13617
Lvir-pop_040	FlintRiver_RylandPike	1602	0.10924
Lvir-pop_041	Sequatchie_Teague	1612	0.1402
Lvir-pop_042	Sequatchie_Teague	1621	0.12955
Lvir-pop_043	Sequatchie_Teague	1625	0.10277
Lvir-pop_044	Sequatchie_Teague	1605	0.11589
Lvir-pop_045	Sequatchie_Teague	1600	0.14938
Lvir-pop_046	Sequatchie_Teague	1628	0.09705
Lvir-pop_047	Sequatchie_Teague	1635	0.07523
Lvir-pop_048	Sequatchie_Teague	1631	0.09135
