population	n	Ho	He	Fis	Fis_lo	Fis_hi	pct_poly
LookoutCreek	20	0.0809	0.068	-0.1894	-0.226	-0.1527	27.7
FlintRiver_RylandPike	20	0.127	0.109	-0.1651	-0.1959	-0.1342	36.4
Sequatchie_Teague	20	0.1093	0.1018	-0.0737	-0.1014	-0.0454	40.2
PaintRock_AL2	20	0.1275	0.0988	-0.2906	-0.3203	-0.2593	36.1
Dry_Creek	20	0.0604	0.0469	-0.2881	-0.3352	-0.2406	19.8
Pidgeon_River	17	0.1248	0.1096	-0.1381	-0.1684	-0.1069	39.1
Sequatchie_OldYork	20	0.1124	0.0981	-0.1464	-0.1708	-0.1227	39.8
Sequatchie_Inman	20	0.1317	0.1251	-0.0529	-0.0764	-0.0296	48.2
FlintRiver_HWY61	20	0.1493	0.1218	-0.226	-0.2523	-0.1985	42.7
BentCreek	20	0.1265	0.0958	-0.3215	-0.3521	-0.2919	33.5
SpringCreek	20	0.1127	0.091	-0.2388	-0.2691	-0.2064	34.9
