population	Ar	Ar_n	Ar_lo	Ar_hi	privAr	privAr_n	privAr_lo	privAr_hi	priv_total
LookoutCreek	1.2569	2213	1.2382	1.2754	0.0039	2213	0.0018	0.0067	8.7
FlintRiver_RylandPike	1.3464	2213	1.3265	1.3665	0.0038	2213	0.0015	0.0067	8.3
Sequatchie_Teague	1.3764	2213	1.3563	1.3964	1e-04	2213	0	2e-04	0.2
PaintRock_AL2	1.3391	2213	1.3189	1.3592	0.0218	2213	0.0161	0.0277	48.2
Dry_Creek	1.1825	2213	1.1666	1.1986	0.0012	2213	3e-04	0.0025	2.7
Pidgeon_River	1.3796	2213	1.359	1.4005	0.0209	2213	0.0153	0.0268	46.1
Sequatchie_OldYork	1.3699	2213	1.3503	1.3891	7e-04	2213	1e-04	0.0017	1.4
Sequatchie_Inman	1.4534	2213	1.4333	1.4729	0.0029	2213	0.0011	0.0051	6.4
FlintRiver_HWY61	1.4029	2213	1.3828	1.4232	0.0057	2213	0.0029	0.0091	12.6
BentCreek	1.316	2213	1.2964	1.3358	0.0403	2213	0.0322	0.0491	89.1
SpringCreek	1.3255	2213	1.3065	1.3449	0.0471	2213	0.0387	0.056	104.3
